id,subject,db_key
eb809a57-d4cf-53cb-8657-039645c7026f,MATEMATIK,D
7db046be-981c-5977-b792-824d265eab5a,TARIH,E
99ac62f7-6a9b-5602-ad39-db33091df689,COGRAFYA,B
87ef8f0f-7783-5a4a-9126-8c1f6cd3b629,GEOMETRI,C
410f7b15-9268-5b46-bb3c-08ac0ef451cd,FIZIK,C
09dcc858-0c35-55c0-bae1-ba8bba9e7648,MATEMATIK,B
3f6c7522-9c10-5683-ac37-dd558e6b0af8,BIYOLOJI,E
42d995d1-1f62-58f3-b23d-f136fe3ce1a8,COGRAFYA,B
f925b2c2-c404-5aa3-a8fa-3bac3da4d384,COGRAFYA,C
fa0fb880-2b0b-5e4d-8fd4-784ded5530be,MATEMATIK,B
d0440ae7-5ee5-511b-ae33-a1dfb038529e,MATEMATIK,B
dc558a14-3fbb-5702-8d21-2fa049545628,MATEMATIK,A
4c6cc876-d6aa-522a-bdb3-65d2627e983e,COGRAFYA,A
d221d89f-352f-5eb0-9f7c-70018be0550f,TARIH,B
018b4ab8-4afa-5201-af17-1a5c5ef648b1,MATEMATIK,A
5ee7271a-b5ea-5a66-b130-148d817aff5a,MATEMATIK,C
c850e31f-f653-5513-aa6e-6121dd6c46e2,MATEMATIK,C
b54e8a2f-33bd-58be-8dfe-ab6f42a9034f,MATEMATIK,E
110c493c-1122-59ab-9265-1fb410900cd0,TURKCE,A
6cbf44c8-e1ba-516b-a0c1-93ff710e32fa,TARIH,B
1aa08eca-6ef2-5571-b3ec-561555fdfb52,TURKCE,E
758d7bff-fa7f-5ec3-9d68-fec144fb88e0,MATEMATIK,C
3e053db3-a0d0-54fc-b846-2584f35819b2,MATEMATIK,C
1113fc1f-80ae-5c57-89e0-590cf94af524,GEOMETRI,D
265bb530-a172-5c92-bcb1-5414ee7ffb43,MATEMATIK,B
60acdafc-2bbc-59c3-a15f-b311dbba1069,TURKCE,C
dbb4c2a0-7475-5439-9662-fc03387817ea,GEOMETRI,A
ed59cf1d-4c62-5140-8898-79088a53b6e6,MATEMATIK,A
1ab74d5d-bd6a-5ce8-add8-ee9a8a9ae3bd,MATEMATIK,A
93abaa43-77c7-524b-ad7a-fc24114c8b35,GEOMETRI,E
