id,subject,db_key,gemma3,category
5e14143d-ac74-5d26-b46b-04848c650182,BIYOLOJI,E,E,AGREE
a1947cb7-3731-5184-9302-bdbd96b5a843,FEN,E,E,AGREE
a691d593-a4a8-5c6b-8d75-4aedd5242f38,GENEL,C,E,DISPUTE
14cc2917-4b00-5817-94d3-714732f88273,TARIH,C,C,AGREE
8432bc5a-a99e-5955-87c1-2a9213e03f09,TARIH,A,D,DISPUTE
d0abeed0-b226-5778-8337-2cc0244b840b,BIYOLOJI,E,E,AGREE
dfa19dce-3ef8-5934-92ea-4fd06ed5cb00,BIYOLOJI,E,E,AGREE
280ccf11-3cfd-5d85-8456-ceb6e5a95527,TARIH,B,B,AGREE
fc5206c3-5e43-55a5-94bb-016faf080cb1,BIYOLOJI,D,D,AGREE
88b300a9-354d-5ed6-9640-cd43dfcb10c2,BIYOLOJI,B,B,AGREE
e940fe8c-9fa3-5f8f-9f4f-e60a8e434766,BIYOLOJI,A,A,AGREE
bf4e3f3f-e67e-54dc-b350-74a0b4624164,EDEBIYAT,A,A,AGREE
1fe5d9b4-17e4-5a01-aab8-d7c8f29c634e,COGRAFYA,E,A,DISPUTE
4bc87f00-25a2-54fb-9b6e-8402b32e3833,BIYOLOJI,E,B,DISPUTE
50604510-da3f-5ee0-9aba-2093d60da54c,GENEL,D,D,AGREE
bf4b7622-ca5d-50e2-ab77-477297684c29,BIYOLOJI,D,D,AGREE
d7ea6603-e449-5765-a5d2-517cfb610d3a,EDEBIYAT,E,E,AGREE
88e2eab9-d273-5ca0-8f53-0053ad163727,BIYOLOJI,E,E,AGREE
8351a8ab-f915-57f4-9d8d-d337faf6f65d,EDEBIYAT,E,C,DISPUTE
a099f78b-d3ae-5175-aad7-153525746fbc,BIYOLOJI,E,E,AGREE
3f414668-1d3b-5936-a4c2-1dd55311bd15,BIYOLOJI,D,D,AGREE
e02651b4-0f1e-5e6e-b597-7561fcd8d02f,COGRAFYA,A,A,AGREE
5f7171ce-fe52-5779-950a-4e1a6c5df5e4,BIYOLOJI,E,E,AGREE
0646e7a2-3108-5950-af99-ee836a566b5e,EDEBIYAT,D,D,AGREE
754ab84a-a51a-5a18-9693-f12cd368fdd4,EDEBIYAT,A,A,AGREE
cbf4f32f-a97f-5417-9b8e-01f3b12b067e,BIYOLOJI,E,E,AGREE
2937c190-5d87-567e-b8a6-ac4c2493d1ee,BIYOLOJI,A,A,AGREE
a2193cb8-dd41-541a-aa59-91c4d788ab54,BIYOLOJI,C,C,AGREE
17de740b-3143-50a1-bdca-e4c27eb20240,COGRAFYA,C,C,AGREE
d17da307-c157-5e72-909f-8385f741fcf5,BIYOLOJI,A,B,DISPUTE
39927391-dffd-5560-87f5-fd355e712888,TARIH,E,E,AGREE
96ac334e-21f2-5aca-a397-ed40b33b98bf,TARIH,B,B,AGREE
38bb2a7f-c30a-5a43-8fd2-202402cb08f2,TARIH,E,E,AGREE
aa73e164-a54f-5f77-ad49-de443b6a4d6e,BIYOLOJI,E,A,DISPUTE
15dc44b4-7ffc-5c33-bdc1-43031288954b,SOSYAL,C,C,AGREE
701bc52a-3662-5d72-bcdf-9b0c0d5a60da,BIYOLOJI,C,C,AGREE
33308aa4-5737-5623-8dc1-1e5ec826f4c8,BIYOLOJI,D,D,AGREE
0217d5db-51c3-50c7-a2b0-9086d998817f,BIYOLOJI,E,E,AGREE
6c2c789a-2ad1-5f9d-9f71-1254f0fe9001,EDEBIYAT,E,E,AGREE
278105c3-bef8-52f7-8493-387017aa68f9,BIYOLOJI,A,A,AGREE
c6794fc6-0c7e-52a7-a4c3-d802b0a824a6,GENEL,E,A,DISPUTE
c31ff17b-dded-5da8-a0dc-51374eaf1f06,EDEBIYAT,E,B,DISPUTE
1282800e-6888-5333-9834-ccf05e7f1357,COGRAFYA,B,B,AGREE
1e0ce2cd-0b88-544b-928b-5949cf232867,TARIH,A,D,DISPUTE
8f9267e4-9d22-5720-940a-bac66e2a261d,TARIH,D,B,DISPUTE
3672920e-32d5-5be6-b6e8-f7036e7fdacf,TARIH,A,A,AGREE
d7dc6edb-aaeb-5b37-b8cb-f75e19b5b889,BIYOLOJI,C,C,AGREE
4cc36018-c3ea-5dc1-9275-d193b05737a5,EDEBIYAT,C,C,AGREE
8dbb20c4-1f22-5960-8c82-1fc769b26ec4,EDEBIYAT,A,A,AGREE
43845302-5170-510b-b151-bfe3a28816d2,BIYOLOJI,A,A,AGREE
d61c8123-e7a9-595e-be03-494a3f6f7c2b,TARIH,E,E,AGREE
dbb3ae72-e22d-5cf5-bea0-1e2feef06f7e,EDEBIYAT,C,C,AGREE
1e2c6fb3-1df1-5f1c-b2e5-6cf0fee156b5,BIYOLOJI,E,E,AGREE
4a0df0df-fe1c-587f-a0c3-b671c06bf1fd,EDEBIYAT,E,C,DISPUTE
51fa8d8b-1736-5183-9105-5cced45aeb6a,BIYOLOJI,A,A,AGREE
9266a009-4d65-557f-b79b-a83f49ae5d4e,EDEBIYAT,B,B,AGREE
97fa4b12-8c6e-564b-9e98-1bad279608dd,BIYOLOJI,B,C,DISPUTE
caf46643-afeb-58e8-8001-51b83eea5e14,BIYOLOJI,E,E,AGREE
3de22c0d-33ec-55e6-813a-1496ee2a25a6,EDEBIYAT,C,B,DISPUTE
fde892a2-c6dc-5fc4-8acf-f1d574cb4a2e,TARIH,B,D,DISPUTE
