id,subject,stored_key,qwen3_gemma3_answer,question
75068323-fa7c-591e-94a0-4dd4051cb451,EDEBIYAT,E,A,----  romantizm akımının etkili olduğu bir dönemde yaşamasına rağmen gerçekçiliğin öncüler
db8640c3-34f0-5d8e-89ed-9d325c2a5af3,TARIH,C,B,Lala Mustafa Paşa komutasında Gürcistan üzerine sefere giden Osmanlı ordusu  1578'de Çıldı
26f4c10a-30a0-5f14-b767-e47eb287531f,EDEBIYAT,A,D,Nuri Pakdil ve Mehmet Akil İnan'ın çıkardığı Edebiyat  daha sonra Mehmet Akil İnan'ın çıka
57ff5ad5-cd10-5f62-852d-ed1c540b7f4f,BIYOLOJI,B,A,Sağlıklı bir insanın üreme döngüsünde korpus luteum bozulmasından sonra ilk ortaya çıkacak
aa46a35e-d6a7-5d53-bf7b-eadea6ecb4b2,BIYOLOJI,A,B,Canlılarda görülen aşağıdaki olaylardan hangisi varyasyona neden olmaz?
6297d408-7f5d-5ace-b0b2-14d54b06da3c,TARIH,A,E,Osmanlı tarihinde aşağıdakilerden hangisi hiçbir zaman görülmemiştir?
c33775f0-bd60-5d25-ac9d-57425158a0d0,COGRAFYA,A,C,Aşağıdakilerden hangisi üçüncül ekonomik faaliyet koluna ait özelliklerden biri değildir?
5e6a6376-ffe3-59f7-a666-e1755600cc61,BIYOLOJI,A,D,İnsanlar ağızda aşağıdaki besinlerden hangisinin kimyasal sindirimini gerçekleştirebilir?
da39d54d-f8a7-5da3-80d4-baa59c82c292,BIYOLOJI,B,D,I. Glikojen sentezi II. Hücre dışı sindirim III. Fotosentez IV. Konjugasyon  Bakteriler âl
2515c510-dfbd-5eca-a26a-26fd7699a354,TARIH,A,D,I. Saltanatın kaldırılması II. Cumhuriyet'in ilan edilmesi III. Ankara'nın başkent olması 
af7ba70a-f062-50b3-9e92-67acd4bf16fa,TARIH,E,C,Osmanlı Devleti  toprakları içerisinde yaşayan gayrimüslimleri İslam hukukuna göre yönetmi
48cb483a-4f8e-53dc-bcab-b6c870ca2ee8,TARIH,A,B,1831 - 1882 yılları arasında Osmanlı Devleti'nde Anadolu'daki Müslüman nüfusu ikiye katlan
d310af4b-bcfb-5511-9181-f854e109ce54,EDEBIYAT,E,D,Bekçiyim  bu serin Bu siyah gecelerin Gurbetten daha dorin Bir yara içimde!  Korku bilmez 
9ade6b2b-05d7-593b-bfc2-4ff5086b020d,TARIH,A,C,SSCB'nin dağılmasından sonra Kazakistan'ın başkenti Almatı'da (Almaata) toplanan zirve ile
17baa8ed-6eb4-5004-bd84-7c85262de564,BIYOLOJI,D,A,Normal bir mitoz bölünme sonucunda oluşan iki hücrenin; I. DNA molekülüne ait nükleotit di
ff14459e-399b-5786-ad5b-1f82ce0aa43c,SOSYAL,A,E,Sömürgecilik  yüzeyindeki zenginlikleri  hazır kaynakların ve insan-emek gücünün Batıya ak
75829270-c48b-54bf-b2e3-ed6aea5a5d06,BIYOLOJI,A,B,Aşağıdaki hücresel yapılardan hangisinde nükleik asit bulunur?
2ab9016f-6f24-53bb-a049-8e5b0919e096,GENEL,A,D,$\left(x^4 - \frac{1}{x^2}\right)^9$ ifadesinin açılımında sabit terim kaçtır?
e02cc98b-e0ba-55cf-baa6-12772a5ca451,BIYOLOJI,A,C,Biri suda  biri karada  biri havada hayatını sürdüren üç canlı türünün akraba olduğunu tes
21d2a7fb-104f-5ece-a516-a941f00e3561,EDEBIYAT,C,A,"Araba Sevdası" adlı romanı yeniden okudum geçenlerde.  Bu kez Bihruz Bey'i daha az kızdım
0de69dc1-efd9-5fee-a18c-1898e869ad77,EDEBIYAT,D,E,Haraket dergisinde yayımlanan ilk öyküsü O'dur.  Öykülerinde köy ve kasaba insanların günl
e4543d41-0332-5ae7-8147-f540f6e0d313,TARIH,A,D,Karasal su ekosistemleri içinde göller önemli bir yere sahiptir. Göller  sahip oldukları ö
b470b62b-e35a-5397-9115-34c6820dcc8d,TARIH,A,E,İlk dönem Osmanlı padişahları  Anadolu Beylikleri  Bizans İmparatorluğu  Sırp ve Bulgar Kr
e692f95d-269d-58a4-bea8-e226dfa2553b,EDEBIYAT,A,E,Batı'nın örnek alınmasından yanadır fakat bu durumun taklit boyutuna varmasını istemez. Ba
e44214fe-2e7d-51ec-b725-2b4165c5c540,EDEBIYAT,E,B,Bu oyunun başkomigini dilimli sarık kavuğu ve kırmızı şal katlanır --- denir kiçidir. Oyun
2138230b-cea8-5f6c-b324-f49b06f6cbf8,TARIH,A,C,Osmanlı Devleti'nin Avrupa'da ilerlemesinin  I. etnik yapısının çeşitlenmesi  II. vergi ge
4a0df0df-fe1c-587f-a0c3-b671c06bf1fd,EDEBIYAT,E,C,HÜRRİYET KASİDESİ Görüp ahkâm-ı asrı mühafız sıdk u selâmetten Çekildik izzet ü iktibâl il
7c413e63-0e6e-508a-9765-bf2a7fac6cea,EDEBIYAT,C,B,Emîn Kâmil başını sallayıp gözlerini sinirli sinirli kırpıştırdı: “Neden kıyızsın ve şikây
69954be3-18c8-5943-b098-9f1f464ebfcb,EDEBIYAT,D,E,Aşağıdakilerden hangisi fantastik (büyülü) gerçekçilik akımının bir özelliği değildir?
795add17-9ac0-5df3-bf3f-1644417603df,TARIH,E,C,Saltanat yönetiminin millî egemenlik düşüncesine aykırı olması  Millî Mücadele Dönemi'nde 
10fbc68e-d696-5630-9757-a7e954d10596,EDEBIYAT,E,D,I. metin Çekiyor tebeşirle yeşkin hattını alef; Alevler içinde ev  üstü katında ziyafet! D
db508d2d-50cc-5c14-b36b-a9e39ff73a3b,TARIH,D,C,İstanbul'un fethi  Fatih'in bazı güçlü aileleri boz raf etme imkânı sağlamış ve Veziriazam
8432bc5a-a99e-5955-87c1-2a9213e03f09,TARIH,A,D,Küçük Kaynarca Antlaşması ile Rusya'ya; "Ticaret amacıyla boğazlardan geçiş hakkı ve Karad
0e911882-8e91-520d-ad6d-98a120f74ffa,TARIH,A,D,Orhan Bey Dönemi'nde beylikten devlete geçme yolunda önemli adımlar atılmıştır. Osmanlı De
e75ff599-c215-5c75-96ad-28ba509c2bbc,BIYOLOJI,D,C,Aşağıda bazı canlılık olayları verilmiştir. I. Hidroliz II. Dehidrasyon III. Solunum IV. F
f23d67b1-af53-55b0-a160-52e1f018b59a,GENEL,D,A,$\frac{a-c}{b} = \frac{b-c}{a}$ $3a - 3b + 5c = 56$ olduğuna göre  $a + b$ toplamı kaçtır?
a6e448f7-cc21-5ff2-b5ce-71239ff51965,TARIH,E,B,1955 tarihinde toplanan Bandung Konferansı'nda; • Sömürgecilik  her türlü görünümüyle hızl
76b4be14-7b26-5312-8c34-6ad254d7e4b5,EDEBIYAT,E,C,----  şeytanca zekâsı ve güzelliği ile tuzağına düşürdüğü tecrübesiz  zengin çocuklarını s
297f6f0b-cdfd-5a21-be41-51291fa9c885,TARIH,E,A,Türkiye'de zeytinciliğin önde gelen birinci sorunu  ağaç başına verim düşüklüğüdür. İspany
fb94e59a-4018-56b5-81e1-f00198c0150f,BIYOLOJI,E,C,Pankreas ile ilgili olarak aşağıdaki ifadelerden hangisi yanlıştır?
5779c97c-39a9-5271-ad65-a01f9e6a036e,GENEL,D,E,Dillere pelesenk olmuş mısralarına rağmen şiiri yeterince tanınmayan Özdemir Asaf'ın yazar
d993ef7d-a88b-5b7b-b9ce-ba0614600004,EDEBIYAT,B,E,1950'ye kadar Türk şiirindeki değişime ana hatlarıyla bakarsak şunu göreceğiz: Konu alanı 
cca0ed86-d52e-5cde-867c-b2e03c4cd530,COGRAFYA,C,D,Dünya üzerinde farklı iklimlerin görülmesi sonucu farklı orman formasyonları oluşmuştur. B
7af42a41-8dd3-567b-803b-11cc6b83762f,EDEBIYAT,A,D,Ozumnda çapa  ardında keçisi  Kör karanlığında sakalın  Düşerdik kir yollarına; Dönerdi ak
