dca8e3ae-3ece-56c2-b097-69958df0d24e	MATEMATIK	Etiket fiyatı 540 TL olan ürünlere etiketleme yapılırken bu ürünlerin bazılarına etiket fiyatı yanlışlıkla 450 TL olarak basılmıştır. Bu etiketleme sonucu satılan ürünlerden normalde göre %8 daha az kazanç elde edilmiştir. Buna göre, kaç adet ürün doğru etiketleme ile satılmış olabilir?	C	24	25	26	27	28
eec11e4d-7bc9-5eaa-bc36-2a650716b650	MATEMATIK	İki zar aynı anda atılıyor.  Zarlardan bir tanesinin 3 geldiği bilindiğine göre, diğerinin de 3 gelme olasılığı kaçtır?	A	\frac{1}{11}	\frac{2}{11}	\frac{3}{11}	\frac{4}{11}	\frac{5}{11}
75068323-fa7c-591e-94a0-4dd4051cb451	EDEBIYAT	----, romantizm akımının etkili olduğu bir dönemde yaşamasına rağmen gerçekçiliğin öncüleri ve kurucuları arasında yer almıştır. Özellikle toplumun yaşadığı yansıtacak hayata zıtlık, çelişkileri anlatmıştır. İnsan reik yapısına olduğunda doğru topluma birlikte anlam kazanır. Yazar, insanı yaşadığı ç	E	Stendhal	Balzac	Tolstoy	Turgenev	Hemingway
6900bf88-a52d-568e-a46c-a68cfddcdf66	GEOMETRI	ABC eşkenar üçgen BDC ikizkenar dik üçgen [BD] ⊥ [BC] olduğuna göre, m(ADC) = α kaç derecedir?	E	10	15	20	25	30
5583485e-9c78-5134-a0a3-b3174b54ce9f	TURKCE	Selçuklu ve Osmanlı Dönemi'nde ortaya çıkan, ahi adı verilen esnaf teşkilatlarının örgütlenmesine ilişkin dikkat edilmesi gereken noktaların belirtildiği yazılı belgelerdir. Esnafın yanı sıra halka da seslenen bu ürünler mistik bir hava taşır. Nesir biçimindedir.  Bu parçada boş bırakılan yere aşağı	A	pürranamenler	menakıpnameler	gazavatnameler	fütüvvetnameler	surnameler
94bec794-ef4e-5630-842f-0c59c4dbf231	MATEMATIK	$\log_{3}\left(\frac{1}{27}\right)=x$ olduğuna göre, x kaçtır?	E	3	\frac{3}{2}	1	-\frac{2}{3}	-\frac{3}{2}
29c77507-0542-5d54-b4b6-875adde4d48c	MATEMATIK	$y = ax^2 + bx + c$ fonksiyonunun grafiği aşağıda verilmiştir. Buna göre, aşağıdakilerden hangisi yanlıştır?	E	$b^2 - 4ac > 0$	$a \cdot c < 0$	$b + c < 0$	$a \cdot b > 0$	$a - b - c < 0$
7df38e74-bab6-5758-8f8c-6e43cceca0c8	FIZIK	Compton olayında gelen foton ile saçılan fotonun,  I. Hızlarının büyüklüğü II. Enerjileri III. Dalga boyları  niceliklerinden hangileri eşit olabilir?	D	Yalnız I	Yalnız III	I ve II	II ve III	I, II ve III
3f3d68aa-a780-513e-9fc7-f12e97ce7c93	BIYOLOJI	Bir ekosistemde birbirleriyle etkileşim halinde bulunan bazı canlıların özellikleri şunlardır:  I. Canlı türü; inorganik maddeleri kullanarak, organik besin sentezliyor.  II. Canlı türü; organik besin ihtiyacını diğer canlıları yiyerek karşılıyor.  III. Canlı türü; ölen bitki ve hayvanlardaki organi	C	Üretici: I, Tüketici: II, Ayrıştırıcı: III	Üretici: III, Tüketici: I, Ayrıştırıcı: II	Üretici: I, Tüketici: III, Ayrıştırıcı: II	Üretici: III, Tüketici: II, Ayrıştırıcı: I	Üretici: II, Tüketici: III, Ayrıştırıcı: I
a2193cb8-dd41-541a-aa59-91c4d788ab54	BIYOLOJI	Bir bakteri türünün S (kapsüllü) ve R (kapsülsüz) tipleri bulunmaktadır. Bu bakteri tipleriyle değişik aşamalardan geçirilip farelere enjekte edilerek aşağıdaki çalışma yapılmıştır. Bu çalışmaya göre, I. R-tipi bakteriler çevresel nedenlerle mutasyona uğrayarak S-tipine dönüşebilir. II. S-tipi bakte	C	Yalnız I	Yalnız II	Yalnız III	I ve II	I ve III
