id	book	page	qip	offset	target_q	sub_score	crop_file	hd_pre	db_text_preview	ocr_text_preview	verdict
6f9e19d4-fda2-5a12-89dd-d89890405244	Bilgi Sarmal Tyt Turkce Video Dets Kitabı 2025	156	4	1	5	0	Bilgi_Sarmal_Tyt_Turkce_Video_Dets_Kitabı_2025_p0156_q05.png	false	Anadolu'da bir taşra kentinde yaşayıp da sanata eğilim duyan gençler arasında en fazla sıkıntıyı genç tiyatro hevesliler	I. Arabayı çok beğenmiştim ama alacak paramı yoktu. II. Rüzgârla birlikte dışarıdaki kokular, içeri doldu. III. Yaz ayla	
d5713fe8-4c8f-55ca-b174-3f77292c86f6	345 2024 Tyt Matematik Soru Bankası	256	0	1	1	0	345_2024_Tyt_Matematik_Soru_Bankası_p0256_q01.png	false	Bir anne ile kızı arasında aşağıdaki konuşma geçmiştir. Anne: "Ben doğduğumda annem 21 yaşındaydı." Kızı: "O hâlde, ben 	Ali'nin yaşı Bora'nın yaşının 3 fazlasının yarısı kadardır. Can'ın yaşı ise Ali'nin yaşının 2 katıdır.  Bu üç kişinin 2 	
e934fec9-0b72-529b-8d93-9d12eb20c917	2019-2020-ACİL-TYT-Soru Bankası	73	0	1	1	10	2019-2020-ACİL-TYT-Soru_Bankası_p0073_q01.png	false	Bir sayı, tabanı ve üssü asal sayı olacak biçimde üslü sayı şeklinde yazılabiliyorsa bu sayıya Nadir Sayı denir. Örnek: 	Bir sayı, tabanı ve üssü asal sayı olacak biçimde üslü sayı şeklinde yazılabiliyorsa bu sayına Nadir Sayı denir.  Örnek:	
97ab8d1b-1a0e-5752-83c3-c123bdafa5a3	Esen Aps Cografya Soru Bankası	20	1	1	2	0	Esen_Aps_Cografya_Soru_Bankası_p0020_q02.png	false	Dünya'nın küresel şekline bağlı olarak Ekvator'dan kutuplara gidildikçe sıcaklık azalır. Buna göre, aşağıdakilerin hangi	Aşağıda bir oluşum ve ona bağlı olarak ortaya çıkan olaylar neden-sonuç ilişkisine bağlı olarak sırasıyla verilmiştir.  	
7de23ba2-b6b1-5207-86fd-b43349f0febe	345 Tyt Ayt Geometri Soru Bankası 2	254	0	1	1	10	345_Tyt_Ayt_Geometri_Soru_Bankası_2_p0254_q01.png	false	Dik koordinat düzleminde denklemi $x^2+y^2+4x-6y-12=0$ olan çemberin merkez koordinatları ve yarıçapı aşağıdaki seçenekl	Dik koordinat düzleminde denklemi $x^2 + y^2 + 4x - 6y - 12 = 0$ olan çemberin merkez koordinatları ve yarıçapı aşağıdak	
941e132d-0233-56bb-befd-959d2567a72d	Orijinal-Tyt Ayt Geometri Soru Bankası	214	3	1	4	0	Orijinal-Tyt_Ayt_Geometri_Soru_Bankası_p0214_q04.png	true	ABCD dikdörtgen, $[EF] \perp [AB]$, $m(\widehat{DBA})=\alpha$, $m(\widehat{CFB})=2\alpha$, $|DE|=10$ cm, $|EC|=6$ cm. Yu	ABCD dikdörtgen |AK| = |KD| |AE| = |EB| |ET| = |TC| |KF| = |FC| |AC| = 20 cm  Yukarıda verilenlere göre, |FT| kaç cm'dir	
52085f81-4ffd-5aa1-9b1f-095771a98d56	345 2025 Ayt Matematik Soru Bankası	363	0	1	1	8	345_2025_Ayt_Matematik_Soru_Bankası_p0363_q01.png	false	Bir basketbolcunun antrenman esnasında attığı şutların $18$'i isabetli, $12$'si isabetsiz olmuştur. Buna göre, basketbol	Bir basketbolcunun antrenman esnasında attığı şutların 18'i isabetli, 12'si isabetsiz olmuştur.  Buna göre, basketbolcun	
6d4f39ac-e689-5dd5-9e1e-bb0355a5a603	345 2024 Tyt Matematik Soru Bankası	390	5	1	6	0	345_2024_Tyt_Matematik_Soru_Bankası_p0390_q06.png	false	$f(x)=[3a^2-b^3]x^3+[b^2-\sqrt{2}]x-ab$ sabit fonksiyon olduğuna göre, $f(a+b)+ab$ kaçtır?	f : R - {m+1} -> R - {n} f(x) = \frac{2x-n}{x-3} olduğuna göre, m + n kaçtır?	
f0602807-e199-5e85-8a64-2e3779c77c9c	Cap Tyt Tarih Soru Bankasi 2023 2024	139	1	1	2	0	Cap_Tyt_Tarih_Soru_Bankasi_2023_2024_p0139_q02.png	false	Koalisyon Savaşları sonucunda Metemik başkanlığında 1815 yılında toplanan Viyana Kongresi'nin getirdiği yeni düzen, birt	Siyasal veya toplumsal bir öğreti oluşturan ve bir hükümetin, bir partinin, bir grubun davranışlarına göre veren politik	
90a5b41b-d638-501b-a19f-c1c01e98e1f8	345 2025 Ayt Matematik Soru Bankası	192	5	1	6	0	345_2025_Ayt_Matematik_Soru_Bankası_p0192_q06.png	false	$[a_n]$ geometrik bir dizidir. $a_{20}=15$ ve $a_{24}=45$ olduğuna göre, $a_{16}$ kaçtır?	{a_n} geometrik bir dizidir. a_1 + a_2 = 8 a_2 + a_3 = 24 olduğuna göre, a_1 kaçtır?	
