id,subject,db_key,status
9ee3cb86-1073-597b-b8c4-e9158b600e6a,MATEMATIK,B,auto_judged_high
f6a5f264-c0af-5a09-ac7a-ec432f96596a,GEOMETRI,A,auto_judged_high
be59eed0-e7b5-511d-9ce5-3da59687f11d,GEOMETRI,B,auto_judged_high
c4f29ca9-c7d3-5195-a099-ee689aa70c5d,MATEMATIK,A,auto_judged_high
0bc9bb7c-8706-5ff6-9ce9-7bc2fa48968e,MATEMATIK,C,auto_judged_high
67a206d1-a89e-5586-8c71-b5fbf238b97e,SOSYAL,D,auto_judged_high
c94fce28-d17f-54a6-8d89-486d6789be01,MATEMATIK,D,auto_judged_high
5d77244e-65bd-5c6d-8649-60cb554da5f9,EDEBIYAT,E,auto_judged_high
6aaf111a-1b56-5042-b47a-d629a8a1a6b5,EDEBIYAT,E,auto_judged_high
1472ad1b-e5bf-5692-bc9c-b9d6669161d8,GEOMETRI,C,auto_judged_high
00891495-f805-5a3f-92f9-dc8d6b79dc60,TURKCE,C,auto_judged_high
cb5696ee-48fe-524e-b030-f473a6d6d75f,TURKCE,A,auto_judged_high
2afa6c79-4bc3-5910-a11a-11a464ae229d,GEOMETRI,B,auto_judged_high
8f4cd75e-db2e-525c-8f0e-2d6cabe24e37,KIMYA,D,auto_judged_high
06c799d1-2e5c-56be-966f-53e506d2a174,MATEMATIK,A,auto_judged_high
d9728458-8687-59b1-86bb-53ea2a62a2fb,TURKCE,C,auto_judged_high
342bbbd2-1acd-52f5-bde4-24f9f467533c,MATEMATIK,D,auto_judged_high
68adf468-b196-5518-9c90-6ab0d6978558,GEOMETRI,C,auto_judged_high
ed59cf1d-4c62-5140-8898-79088a53b6e6,MATEMATIK,A,auto_judged_high
fa8f3f75-a24e-53e2-a91a-6e539bbfef83,TURKCE,A,auto_judged_high
e70c9b55-0e75-56bb-9e6c-0357d8c4dec1,MATEMATIK,B,auto_judged_high
3e9521ee-5b12-5f9c-9895-e22a56e5fdda,TARIH,D,auto_judged_high
a474e193-a7a5-56da-9778-25ffd1ff8885,KIMYA,C,auto_judged_high
280a68f3-f23b-5720-b252-832bfa821beb,TURKCE,A,auto_judged_high
8bfac8c3-0d02-5d29-9ef2-ad37f347e68b,MATEMATIK,D,auto_judged_high
485ae2ff-81d9-5689-81ab-511f950ac9e4,FIZIK,C,auto_judged_high
ea388b96-31a5-5493-8750-2c0bbc33f1f4,MATEMATIK,B,auto_judged_high
f0ba6ece-e91c-51ae-9c29-575263f1b0c7,GEOMETRI,B,auto_judged_high
9eff7c38-46d7-5642-9c36-a12676215641,MATEMATIK,C,auto_judged_high
7abc4843-1719-5335-af17-59aebc0ff615,MATEMATIK,E,auto_judged_high
be2ac64a-fd06-5219-b2b7-c7a40bd547d0,SOSYAL,A,auto_judged_high
15d89948-4392-5765-b2cf-d00d97f4b467,TURKCE,E,auto_judged_high
d5119ece-d23b-5769-b9df-c59fc88b8ce6,GEOMETRI,B,auto_judged_high
f941dafd-cf5c-5082-8915-fc4a79b97faa,KIMYA,E,auto_judged_high
8333c1e3-19e7-5c99-9dd5-d8154ead1215,TARIH,B,auto_judged_high
7fdaf805-07ec-5dbf-baff-16548790b921,MATEMATIK,C,auto_judged_high
d2bd60fa-4a2d-56c0-babb-ba38bc24b6fa,GEOMETRI,C,auto_judged_high
6395faf1-660c-5f4e-8aa4-5290f8ce8259,GEOMETRI,B,auto_judged_high
7eca0017-aa22-5da4-953e-263873c1e9a6,MATEMATIK,D,auto_judged_high
18aa94cd-486c-5bab-93a2-313b1c3f6a02,MATEMATIK,C,auto_judged_high
b85ce9aa-db38-555c-a94a-0223fd1a66bd,MATEMATIK,B,auto_judged_high
cbbe4e57-8ff9-5d0a-8a32-7fd674e1de27,GEOMETRI,C,auto_judged_high
0bd297be-92a5-53c1-95f6-97b02e7b6499,KIMYA,A,auto_judged_high
5a482c4d-f440-5320-955d-d451d90e38d1,TARIH,D,auto_judged_high
1374c457-8daa-5e82-8e39-6e5f20bf63c8,MATEMATIK,A,auto_judged_high
0b15d1d0-e5fe-569f-8c1b-6c0c1665dee0,COGRAFYA,A,auto_judged_high
2ec3ee7f-08d3-5581-a307-683161b8a4aa,MATEMATIK,A,auto_judged_high
d625b3fb-101e-5019-8dae-cd224d89bd0e,MATEMATIK,B,auto_judged_high
8d56bbd2-9501-5e2b-b178-834f3f62a301,EDEBIYAT,E,auto_judged_high
f47970ac-b33d-52d9-b135-5c601e8d41a7,TARIH,B,auto_judged_high
