id,subject,db_key,gemma3
62a1854f-0652-55f0-8bb2-cd390ae06ac4,GEOMETRI,C,D
a775d0e5-33db-52ca-8b91-af8971e399d8,MATEMATIK,B,A
0f52f944-4e7b-54df-83a8-7336a16f7fce,MATEMATIK,C,A
cf31fa59-758a-5510-8e84-43a90483a879,MATEMATIK,B,A
00956521-f3f1-5808-9f98-2e2a2f1cfdd8,MATEMATIK,E,C
02e8c55d-73d1-57cd-b782-806dea27cb43,MATEMATIK,C,D
d92aea34-54ab-59d6-aeef-5f17b5c5965e,MATEMATIK,C,D
293b9e20-8f03-5e1e-99e1-fe182bd66f20,MATEMATIK,B,C
58ed739d-c8cd-5479-8019-e9be7979cd4e,MATEMATIK,E,A
96412ca8-f376-5b83-b2ac-bd98853466e5,MATEMATIK,C,D
e32b2bcf-7350-5b73-af2b-989a3f81e7cb,MATEMATIK,E,C
f7792d0a-aae2-538a-a0e9-aaf59d5c9140,MATEMATIK,D,C
4d687580-f904-5440-b174-175733cfbab8,MATEMATIK,B,C
acf19f10-da6e-50f4-900b-e7514b0999f3,MATEMATIK,B,C
1ac14284-d345-591d-a6c2-d9835cd45429,MATEMATIK,D,B
011b619c-7082-50f7-9792-efc5569e41f0,MATEMATIK,D,B
275f9c57-a833-5819-837a-b2e263c1473a,GEOMETRI,E,B
24ff9083-3318-5bb4-b4e4-9e8f374a9ec8,MATEMATIK,A,C
a9514b5f-a1e8-53c2-b231-deabd9394f8a,MATEMATIK,C,D
15744c97-a687-540e-8d5f-9a2bca91929a,MATEMATIK,E,B
beb49514-83a4-5dce-b99d-18db72459a10,MATEMATIK,D,B
268ddfe6-47c1-5b95-a557-d8bb6273c2e0,MATEMATIK,C,D
89281b99-0932-5477-b2db-7c44b5197c5f,MATEMATIK,A,C
8c28ece0-0c92-5453-8fd8-a04f4242989b,MATEMATIK,D,B
b4a3a846-af7a-517f-bb18-653c55a96723,MATEMATIK,D,B
3a817965-6db5-551d-acd5-da0a90daa307,MATEMATIK,C,D
13c12a5b-7c5d-50e1-ab50-4977c4d8fd32,MATEMATIK,E,D
4a168f82-fcf6-5332-a5ab-59115597810e,MATEMATIK,D,C
25356d5e-0cc3-54eb-b68b-f477b9f82f8b,MATEMATIK,A,B
d4c7b6df-fd3a-5f9d-835e-662d667c565c,MATEMATIK,E,D
f9e8af42-9eec-5243-9057-a5fb9206233a,MATEMATIK,C,A
b4cf0788-ac48-5fbe-8952-b9bc087de5ee,MATEMATIK,D,B
c4954797-5ee9-5595-bdbd-b6162e08fbb5,MATEMATIK,B,A
f1a4629e-bb12-5e5f-88a1-8d4c60e94bfe,MATEMATIK,A,E
fa805a46-3be2-5637-a96f-d6f4f62634d9,MATEMATIK,D,C
2d283903-408e-50bf-857e-db6677133361,MATEMATIK,D,C
eb974b69-dfd7-50f3-a662-50868dc0881b,GEOMETRI,B,A
af97520f-1ee1-54e0-86f6-917665061299,MATEMATIK,E,D
550425c2-0425-5608-9141-ea6c9d9d545d,MATEMATIK,D,C
f6b9e673-0b30-5305-9d88-2bc5dd40e4bb,MATEMATIK,E,D
d5a34c5b-a978-5cca-afc1-cc86c5bed294,MATEMATIK,A,B
7a152818-8e88-5ff1-b001-536338a72d58,MATEMATIK,B,D
4ce5da9e-2376-5be8-be2c-c09dec9df0d1,MATEMATIK,C,A
96de7a7b-eb6f-5dac-9f23-736a6957ca5f,MATEMATIK,B,C
6f942853-a179-5c29-8bfd-61fa66512a5f,MATEMATIK,E,B
7b3ba06c-8b03-5a8f-a9f9-7f8bd82b90d9,MATEMATIK,D,C
9f92b472-2dd9-5c96-9f11-f8507475fb46,MATEMATIK,B,C
d1bda0c3-0a6d-5f45-80f6-0dcabe2f5b46,GEOMETRI,C,D
ef36d208-621c-5964-8346-59cc66ee64f3,MATEMATIK,C,D
f8a8032f-a580-5788-aa14-805086edbaf3,MATEMATIK,A,D
9fb6a415-4fed-5d4e-877a-254cef8a5dd0,MATEMATIK,A,B
0e7fb31d-f1b7-5d51-a6ce-4158fcb63ab9,GEOMETRI,D,E
eb46c4c3-0330-5fda-97f0-b07b0412a01f,MATEMATIK,E,C
87aebd0b-18b8-58a9-8c06-b4f53fd75282,MATEMATIK,B,E
f50ffe78-1ef1-5a91-9eed-730234c00725,MATEMATIK,B,C
ac719e25-0ce2-56d7-abd0-127937379463,MATEMATIK,E,C
f34971c1-1251-5066-8724-8bc3fe23ed8f,MATEMATIK,C,D
38d6c094-6446-53c5-a968-57bd2be361d0,MATEMATIK,E,D
5a580352-deeb-5cac-b569-f189f2b9dcc1,MATEMATIK,B,C
2dd07e30-a891-5137-8565-5062eeebbb09,MATEMATIK,D,C
