id,subject_area,q,oa,ob,oc,od,oe,key
c166d78d-e5a5-5ac8-bffe-961bbfa947fb,MATEMATIK,$|x-1| \le 2$ eşitsizliğinin çözüm aralığında bulunan tam sayıların toplamı kaçtır?,-7,-6,-5,-4,-3,C
6d438a53-3eb0-5ed3-9023-4cba24443b16,TURKCE,"Dar kapısından başka aydınlık girecek hiçbir yeri olmayan dükkânının gece gündüz kıvrımları saçarak çalışan Koca Ali, kafese konmuş torbiyik bir aslanı andırıyordu. Bu cümlenin ögeleri aşağıdakilerin hangisinde sırasıyla verilmiştir?",Dolaylı tümleç-özne-zarf tümleci-yüklem,Özne-belirtili nesne-yüklem,Dolaylı tümleç-özne-yüklem,Dolaylı tümleç-zarf tümleci-özne-nesne-yüklem,Özne-yüklem,C
f5a67978-1fa1-5bed-96cd-d755c83c9c55,MATEMATIK,"$f(x) = \frac{x^3+8}{x+2}$ olduğuna göre, $f'(\frac{1}{2})$ kaçtır?",-2,-1,0,1,2,D
031bf344-0aa7-56a1-9d4c-9210c45dab95,KIMYA,"Katman elektron dağılımı verilen yukarıdaki elementlerle ilgili,
I. X ve Y aynı periyotta bulunur.
II. Y ve Z benzer kimyasal özellik gösterir.
III. X ametal, Y metal ve Z soy gazdır.
yargılarından hangileri yanlıştır?
X: 2-8-5
Y: 2-8-6
Z: 2-8-2",Yalnız I,I ve II,Yalnız III,I ve III,Yalnız II,B
f8ff8092-7814-5c3b-8206-1c5e9e67be91,MATEMATIK,$\\int \\frac{x+2}{\\sqrt{x^2+4x}}dx$ integralinin eşiti aşağıdakilerden hangisidir?,$\\sqrt{x^2+4x}+c$,$\\frac{\\sqrt{x^2+4x}}{2}+c$,$2\\cdot \\sqrt{x^2+4x}+c$,$x^2+4x+c$,$4+\\sqrt{x^2+4x}+c$,A
109e0c9a-6974-51c0-a3f6-14fff518d23b,BIYOLOJI,"Plastit çeşitlerinin görevleri şöyledir: I. Fotosentez olayını gerçekleştirmek II. Besin depo etmek III. Çiçek ve meyvelere sarı, kırmızı, turuncu renkleri vermek Bu görevleri yerine getiren plastit çeşitleri, aşağıdakilerin hangisinde doğru eşleştirilmiştir?","Kromoplast, Kromoplast, Lökoplast","Kromoplast, Lökoplast, Kloroplast","Kloroplast, Kromoplast, Kromoplast","Kloroplast, Lökoplast, Kromoplast","Kromoplast, Kloroplast, Lökoplast",D
0f244a26-ae52-5669-b42d-6216bd7d3076,MATEMATIK,"$f$ türevlenebilir bir fonksiyondur. $\lim_{h \to 0} \frac{f(2+h)-f(2)}{3h}=5$ eşitliği veriliyor. Buna göre, I. $f$ fonksiyonuna $x=2$ apsisli noktadan çizilen teğetin eğimi $5$ tir. II. $f'(2)=15$ III. $\lim_{x \to 2} \frac{f(x)-f(2)}{x^2-2x^2-3x-2}=3$ tür. yukarıdaki ifadelerden hangileri doğrudur?",Yalnız I,Yalnız II,I ve II,II ve III,"I, II ve III",B
52e63213-75c0-536f-a224-bedc6710a09e,MATEMATIK,"$\\int_1^8 \\frac{f(x)}{x^2}dx = 12$ olduğuna göre, $\\int_1^2 x^2 \\cdot f'(x)dx$ integralinin değeri kaçtır?",6,4,3,2,1,B
e460c409-e72d-5ae0-8232-d22fee72e308,MATEMATIK,"Hicri yılın, Miladi yıla çevirisi aşağıda verilen bir örnekle açıklanmıştır.
759 Hicri yılı Miladi yıla çevirelim.
1. Adım Hicri yılı 33'e bölünüz: $(759 : 33 = 23)$
2. Adım Bulduğunuz sonucu Hicri yıldan çıkarınız: $(759 - 23 = 736)$
3. Adım Çıkarma işleminden sonra bulduğunuz sonucu 622 ekleyin: $(736 + 622 = 1358)$
Demek ki 759 Hicri yılı, 1358 Miladi yılına karşılık gelmektedir.
Buna göre, 1452 Hicri yılı hangi Miladi yıla karşılık gelmektedir?",2010,2015,2018,2026,2030,E
74649484-f889-57b8-9dd5-37cdc6454da0,TURKCE,"(I) Gaziantep'in tarihini anlayabilmek için gezilecek pek çok turistik ve kültürel mekân vardır. (II) Zeugma Mozaik Müzesi, şehri tanıyabilmek için mutlaka ziyaret edilmesi gereken durakların başında gelir. (III) 2011 yılında açılan yapı; mimari, teknoloji ve kültürel açıdan sadece şehrin değil, dünyanın da en gelişmiş müzelerindendir. (IV) Zeugma şehirinden kalan eserlerin sergilendiği müzedeki buluntularla iki bin yıllık geçmişe tanıklık edilebilir. (V) MÖ 300'de Büyük İskender'in ""Selevkia Euphrates"" adıyla kurduğu yerleşim yeri, Kommagene Krallığı'nın dört büyük şehrinden biridir. (VI) Yaklaşık iki yüz elli yıl sonra Roma İmparatorluğu'na bağlanan şehir, ""köprü, geçit"" anlamlarına gelen ve bugün müzeye de adını veren Zeugma olarak anılmaya başlanmıştır.
Bu parça iki paragrafa ayrılmak istense ikinci paragraf numaralanmış cümlelerin hangisiyle başlar?",II,III,IV,V,VI,D
