id,subject_area,q,oa,ob,oc,od,oe,key
cc7cfd96-6e06-50da-a9ad-6ebed2dbe03b,KIMYA,"Benzinin petrolden eldesini, yapısında hangi elementlerin bulunduğunu ve elementlerin yüzde bileşimini, yandığında açığa çıkan enerjiyi inceleyen bir kimyager; I. organik kimya, II. analitik kimya, III. fizikokimya kimya alt disiplinlerinden hangilerinin çalışma alanında araştırma yapmıştır?",Yalnız II,Yalnız III,I ve II,II ve III,"I, II ve III",E
21868655-3987-520c-88b7-c06416066545,MATEMATIK,"$i^2 = -1$ ve $a$ ile $b$ birer gerçek sayı olmak üzere, $z = (a-2) - (1-b)i$ karmaşık sayısının analitik düzlemdeki görüntüsü 2. bölgededir. Buna göre, $a+b$ toplamının alabileceği en büyük tam sayı değeri kaçtır?",5,4,3,2,1,C
3fdff644-9077-5556-a2b8-186e409bc68f,MATEMATIK,"$x<0$ olmak üzere, $|x-4|+|x|-5$ ifadesinin eşiti aşağıdakilerden hangisidir?",-1,0,1,$2x-1$,$2x+1$,D
f5f6a2cc-c89b-55ef-8458-1b363fa71295,MATEMATIK,"Gül yıkadığı eşit sayıdaki çarşaf ve yastık kılıfını doğrusal olan boş bir çamaşır ipine tek sıra hâlinde asmıştır. Elindeki yeterli sayıda mandal olmadığı için yan yana bulunan her iki çamaşırın mandallarından biri ortak olacak şekilde asan Gül, her bir çarşaf için 4 mandal, her bir yastık kılıfı için 3 mandal kullanmıştır. Gül, bu giysileri asmak için toplam 71 mandal kullandığına göre, çamaşır ipine toplam kaç çarşaf asmıştır?",10,11,12,13,14,B
7ca41b1e-5685-53d3-ac88-b8b754b42945,BIYOLOJI,"Sağlıklı bir insanda, kandaki adrenalin hormonu miktarının artması
I. kalp atışı ve kan dolaşımı,
II. mide ve bağırsaklarda sindirim,
III. soluk alışverişi
olaylarından hangilerini hızlandırır?",Yalnız I,Yalnız II,Yalnız III,I ve III,"I, II ve III",D
c902e2f6-46e0-53f9-b36d-882a01f8b700,MATEMATIK,"$a$ çift ve $b$ tek sayı olmak üzere, aşağıdaki ifadelerden hangileri her zaman çift sayıdır?
I. $5a+2b$
II. $2 \cdot a \cdot b+3$
III. $a+b$",Yalnız I,Yalnız II,Yalnız III,I ve II,II ve III,A
08d1e820-dafb-5978-948c-e87b7fba3f5f,FIZIK,"I. Sırtında çantasıyla hareket etmeden otobüs bekleyen öğrenci
II. Gazetesini okuyan emekli
III. Market arabasını iterek dolaşan kadın
Yukarıda belirtilen kişilerden hangisi fiziksel anlamda iş yapmıştır?",Yalnız I,Yalnız II,Yalnız III,I ve II,I ve III,C
73c6f8ef-785f-548d-8ed5-e3c1ac601d4f,TURKCE,"I. Düzenli yapılan egzersizler vücutta endorfin seviyesini yükseltir. II. Endorfin seviyesi kişinin kendini çok daha iyi hissetmesini sağlar, ağrı algısını da azaltır. Bu iki cümlede ifade edilenlerin anlamca doğru bir biçimde birleştirilmiş hâli aşağıdakilerden hangisidir?",Kişinin kendini çok daha iyi hissetmesini sağlayan ve ağrı algısını azaltan endorfinin vücutta yükselmesi için mutlaka düzenli egzersiz yapmak gerekir.,"Endorfin seviyesini yükselten en önemli etken düzenli yapılan egzersizlerdir, bu da kişinin kendini daha iyi hissetmesini sağlar ve ağrıları dindirir.","Endorfin kişinin düzenli egzersiz yapmasına bağlı olarak artar ve kişide tüm olumsuz duyguları yok eder, ağrıları azaltır.","Endorfin kişinin kendini daha iyi hissetmesini sağlayan ve ağrıları dindiren bir hormondur, düzenli egzersizlerle artış gösterir.","Düzenli egzersizle seviyesi artan endorfin, kişinin kendini çok daha iyi hissetmesini sağladığı gibi ağrı algısını da azaltır.",E
924e19ba-a138-50cc-8df0-bb2a3203dd5a,MATEMATIK,"$$\frac{0,06}{0,2}+\frac{1,5}{0,3}$$ işleminin sonucu kaçtır?",$$\frac{3}{2}$$,1,$$\frac{3}{4}$$,$$\frac{2}{3}$$,$$\frac{1}{2}$$,A
766b900f-7be2-5d99-a619-95745634f9e2,KIMYA,"İdeal pistonlu kapta $0 \text{ }^\circ C$ de $1$ atmosferde $112$ litre hacim kaplayan ideal $32$ gram $CH_4$ ve He gazları vardır.
Buna göre, kapta toplam kaç tane atom vardır?
(Mol kütleleri: H: 1, He: 4, C: 12, $N_A$: Avogadro sayısı:)","$0,9 N_A$","$0,5 N_A$",$5 N_A$,$9 N_A$,$11 N_A$,D
edb5c00b-4bcd-55e7-93d2-dabe2a13f7e2,TURKCE,"I. Edebiyat dünyasında roman geleneğinin başlangıcı olarak görülen Don Kişot'un, çevrildiği dil ve uyarlandığı eserlere her gün yenisi ekleniyor.
II. İspanyol edebiyatçılarından bazıları, böyle bir kitabı ulusal gurur kaynağı saymakla birlikte eseri özünden uzaklaştırdığını düşündükleri bu uyarlamalara karşı olumsuz tavır takınıyor.
III. Bu ancak kitabın özgün İspanyolca metninin yansının bile açıklama olmaksızın İspanyollar tarafından anlaşılmaması bir ""paradoks"" olarak görünüyor.
IV. Eleştirmenlere göre günümüz diline uyarlamak için de olsa bu tür çalışmalar ""entelektüel tembellik"" göstergesinden başka bir şey değil.
V. Oysa kitaptan bazı cümlelerin çıkarılması, kimi sayfaların özet hâle getirilmesi ve bazı kelimelerin değiştirilmesi edebiyat suçu sayılmamalı.
VI. Bu sorunun çözümünü uyarlama eserlerde görenler ise Don Kişot gibi, yaşayan bir kitabın toplumsal hayata uzanması gerektiğini söylüyorlar.",I ile II,II ile III,III ile V,IV ile V,IV ile VI,B
b1a2e864-2002-5a75-8f8b-3fe397d91e29,MATEMATIK,"$0 < x < 90^\circ$ ve $\sqrt{\frac{1 - \cos x}{1 + \cos x}} = m$ olduğuna göre, $\sqrt{\frac{1 + \cos x}{1 - \cos x}}$ ifadesinin $m$ türünden eşiti aşağıdakilerden hangisidir?",\frac{1}{m},\frac{m}{\tan x},\frac{\cot x}{m},\cot x \cdot m,1 - m,A
a05dadf8-9231-55e4-8c0a-8f12a1f7169d,TARIH,"Mustafa Kemal Paşa, İstanbul'da toplanacak Mebuslar Meclisi'nin çalışmalarını yakından takip etmek üzere Temsil Heyeti'yle birlikte Ankara'ya gelmiş ve Ankara'yı Millî Mücadele'nin merkezi haline getirmiştir. Bu durumun oluşmasında Ankara'nın; I. ulaşım ve haberleşme olanaklarına sahip olması, II. işgale uğramamış ve her yönden güvenli bir konumda olması, III. savaşların yapıldığı Batı Cephesi'ne yakın bir konumda bulunması özelliklerinden hangileri etkili olmuştur?",Yalnız I,Yalnız II,I ve II,II ve III,"I, II ve III",E
5dec174a-ca53-57ec-aa71-19518b94f950,MATEMATIK,"Gerçek sayılar kümesinde türevlenebilen $f$ fonksiyonu için $f(2x) = 4f(x) - 4x - 3$ ve $\lim_{x \to 1} \frac{f(x) - f(1)}{x - 1} = 1$ eşitlikleri sağlanıyor. Buna göre, $f'(2) + f(2)$ toplamının değeri kaçtır?",1,2,3,4,5,C
d049694b-38d4-5904-9c9d-630ae530ebc7,MATEMATIK,"$y = t^2 + 5t + 3$
$x = t^2 - 6t + 5$
olduğuna göre, $\frac{dy}{dx}$ ifadesinin $t = 2$ için değeri kaçtır?",1,2,3,4,5,B
fba0b17d-3948-5092-8fef-9752c1d4f82c,TURKCE,"Bir kişisel başarı uzmanı, günü verimli kılma ve hayatta başarılı olma adına yapılması gereken bazı şeyleri şöyle sıralamaktadır:
• Normalden 2-3 saat önce uyanıp dışarı çık ve bol bol sabah güneşi al.
• Kahvaltını geç saatlere bırakma.
• Yalnızca sabahları spor yap.
• Öğle yemeğini her gün aynı saatte ye ve 19.00'dan sonra hiçbir şey yeme.
• Saat 15.00'ten sonra kafenden uzak dur.
• Saat 16.00'dan sonra kestirmek yok.
Buna göre uzmanın verdiği bilgiler arasında aşağıdakilerden hangisi yoktur?",Disiplin,Kontrol,Sistem,Mutluluk,Sağlık,D
4f38a559-cb0a-5b27-a87a-b0150dbd1108,TURKCE,"(I) Kara kelimesi kara gün, kara baht, kara akıl örneklerinde olduğu gibi başa na geldiği kelimeye olumsuz anlam yükler. (II) Bu yüzden ölüm, render içinde karanlığı ve umutsuzluğu çağrıştırdığı için karşılıkta özdeşleşir. (III) Turuncu ve ölüm kelimelerinin yan yana gelmesi ilk bakışta uyumsuz gözükse de öyküleri okudukça ne de öyle olmadığını görüyoruz. (IV) Yazar son öykü kitabına adını ölüm turuncu karayı değil, turuncuyu ölüm karayı getiriyor bu metinde. Turuncu Ölüm Kara öyküleriyle. (V) Çünkü kitaptaki öykülerde ölüm en güzel, umuda en yakın haliyle resmediliyor. (VI) Bu haliyle ölümün en güzel, umuda en yakın haliyle resmediliyor.
Bu parçada düşüncenin akışının sağlanabilmesi için numaralanmış cümlelerden hangileri birbiriyle yer değiştirmelidir?",I ile II,II ile III,II ile IV,III ile VI,IV ile V,D
9cce0ccd-a47d-5f4f-ab69-02850739a419,MATEMATIK,İşleminin sonucu kaçtır? $(\frac{1}{3})^{-2} \cdot (\frac{1}{3})^{-1} \cdot (\frac{1}{3})^4$,$3^{-2}$,$3^{-1}$,$3^1$,$3^2$,$3^3$,C
8eefe2c3-fb28-59ec-8277-fc0bee87f5d8,MATEMATIK,"$x$ gerçek sayı olmak üzere, $\sqrt{18-2x}-\sqrt[3]{2x-9}$ toplamını oluşturan her köklü sayı bir gerçek sayı olduğuna göre $x$'in alabileceği doğal sayı değerleri kaç tanedir?",8,9,10,11,12,C
61e7b5a1-d43a-526c-87e4-158ecbcd5bd2,MATEMATIK,"$A = \{1, 2, 3, 4, 5\}$ kümesinin elemanları ile üç basamaklı sayılar yazılıyor. Yazılan bu sayılardan rastgele biri seçildiğinde, seçilen sayının tam olarak iki basamağındaki rakamların aynı olma olasılığı kaçtır?",$\frac{3}{16}$,$\frac{4}{15}$,$\frac{6}{21}$,$\frac{9}{20}$,$\frac{12}{25}$,E
f536cf10-5f08-51b2-93f8-4bac85695b51,MATEMATIK,"a, b ve c otellerinde 3 günlük konaklayan toplam kişi sayısı yukarıdaki sütun grafiğinde gösterilmiştir. Bu kişi sayıları ile ilgili olarak aşağıdakiler bilinmektedir: a ve b otellerindeki kişi sayısı günlük olarak sabit şekilde artmaktadır. c otelinde her gün aynı sayıda kişi konaklamıştır. a otelinde günlük artış yapan müşteri sayısı b otelinde günlük artış yapan müşteri sayısının 2 katıdır. a otelinde ilk gün 40 kişi konakladığına göre; a, b ve c otellerinde 1. gün konaklayan kişi sayısı en az kaçtır?",130,132,134,136,138,C
c61fd861-f7e4-5d9a-bdcb-16ae53e3693a,MATEMATIK,"Bir anasınıfında bulunan yedi öğrenciden üç tanesi erkek, dört tanesi kız çocuğudur. Anasınıfı öğretmeni Nagihan, bu çocuklardan iki tanesini haftanın çocuğu olarak seçecektir. Buna göre, haftanın çocuğu olarak seçilenlerden en az bir tanesinin erkek çocuğu olması şartıyla Nagihan öğretmen kaç farklı şekilde bu seçimi yapabilir?",12,15,18,21,28,B
0c8d14af-02d4-52f6-8a01-76c0fd7d1f1b,MATEMATIK,"Sözel ve sayısal bölümlerinde 4'er soru olmak üzere toplam 8 sorudan oluşan bir sınavın kitapçığında ""Sınavı geçmek için sözel ve sayısal bölümlerin her birinden en az 2'şer soru olmak üzere toplam en az 5 soruyu doğru cevaplamalısınız."" ifadesi yer almaktadır. Bu ifadeyi eksik okuyan Sevcan, sınavdaki 8 sorudan rastgele 5'ini seçmiş ve seçtiği her bir soruyu doğru cevaplamıştır. Buna göre, Sevcan'ın sınavı geçme olasılığı kaçtır?",3/4,4/5,5/6,6/7,7/8,D
971a9e5c-a1df-51f1-88a7-c671288f5df9,MATEMATIK,"$f(x) = \begin{cases} x^2, & x \ge 0 \\ x^3, & x < 0 \end{cases}$ ve $g(x) = \begin{cases} x+1, & x > 0 \\ x-1, & x < 0 \end{cases}$ olduğuna göre, $\frac{(f+g)(1)}{(f-g)(-1)}$ ifadesinin değeri kaçtır?",$\frac{3}{2}$,1,$\frac{2}{3}$,-1,$-\frac{3}{2}$,A
1c5dff65-4324-57a2-b16e-066410a00a1b,MATEMATIK,"$x \in (\frac{\pi}{4}, \frac{\pi}{2})$ olmak üzere,
$x = \text{tan}x$
$y = \text{tan}(2x)$
$z = \text{tan}(3x)$
sayılarının doğru sıralanışı aşağıdakilerden hangisidir?",$x < y < z$,$x < z < y$,$y < x < z$,$z < x < y$,$z < y < x$,A
3732db60-6db3-5eba-82c7-1d1eb579049e,BIYOLOJI,"Sağlıklı bir kişinin vücut hücresinde gerçekleşmekte olan metabolik bir tepkimede zamana bağlı olarak açığa çıkan ürün miktarının grafiği aşağıda verilmiştir. Buna göre, tepkimede $t_1$, $t_2$ ve $t_3$ zaman aralıklarında oluşan ürün miktarının grafikteki değişimi gösterebilmesine neden olan reaksiyon hızı aşağıdaki seçeneklerin hangisinde doğru ifade edilmiştir?","Reaksiyon hızı grafiği $t_1$ ve $t_2$ aralığında artan, $t_2$ ve $t_3$ aralığında sabit.","Reaksiyon hızı grafiği $t_1$ ve $t_2$ aralığında sabit, $t_2$ ve $t_3$ aralığında azalan.","Reaksiyon hızı grafiği $t_1$ ve $t_2$ aralığında azalan, $t_2$ ve $t_3$ aralığında sabit.","Reaksiyon hızı grafiği $t_1$ ve $t_2$ aralığında sabit, $t_2$ ve $t_3$ aralığında artan.","Reaksiyon hızı grafiği $t_1$ ve $t_2$ aralığında artan, $t_2$ ve $t_3$ aralığında azalan.",B
00adde3a-7fd7-5c27-b647-5fa88b08e217,MATEMATIK,"Gerçel sayılarda tanımlı $f$ fonksiyonu
$f(x) = \begin{cases} x^2 & , x < 1 \\ \sqrt{x} & , x > 1 \end{cases}$
şeklinde verilmiştir.
Buna göre,
$\frac{f'(4) + f'(1)}{f(-4) + f(1)}$
ifadesinin değeri kaçtır?",$\frac{1}{32}$,$\frac{1}{16}$,$\frac{1}{8}$,$\frac{1}{4}$,$\frac{1}{2}$,B
5e816a53-d764-58f2-b44d-8f0d86e99dd2,GEOMETRI,"$ABC$ eşkenar üçgen, $[DE] \parallel [BC]$, $m(\widehat{ABD}) = m(\widehat{DBC})$, $[EC] = 2$ cm. Yukarıdaki verilere göre, $[BD] = x$ kaç cm'dir?",3,$2\sqrt{3}$,4,$3\sqrt{3}$,6,C
83fe58f7-37f0-5765-a99b-91da57cd4617,TURKCE,"1254 yılında doğan Marco Polo, tüccar babasının ilk defa 15 yaşındayken görebildi. Zira babası Niccolo, devletin tanınan tüccarlarından biriydi ve hayatı başta Karadeniz olmak üzere pek çok farklı coğrafyada ticaret yapmakla geçiyordu. Marco da babasının izinden gidip bir tüccar olmak üzere kervanlarla yola çıkmayı kendisine geleceği için kariyer olarak seçmişti. 1271'de Papa'nın görevlendirdiği babasına bir mektubu ulaştırmak ve ticari yapmak için İtalya'dan Doğu'nun bilinmezliğine doğru yola çıktı. Kuşkusuz o dönemde Doğu'ya giden başka tüccarlar, din adamları ve az sayıda da gezgin vardı. Ancak yine de bu uçsuz bucaksız coğrafya Avrupalılar için hep gizemli bir yerdi. 1271'de Doğu'nun en uzak noktasına doğru yola çıkan Marco Polo, diğer gezgin tüccarlardan farklı olarak, 17 yıl boyunca Kubilay Han'ın yanında, bir danışman olarak kaldı. Marco Polo'yu o devirde böyle bir noktaya taşıyan, zokası ve gözlem yeteneğiydi. Bunu, Doğu seyahati sırasında kaleme aldığı notlardan anlamak mümkündür. Zira bu yazılar, yüzyıllar boyunca Avrupa'nın Uzak Doğu, hakkında bildikleri konusunda temel kaynaklardan biri oldu.

Bu parça için en uygun başlık aşağıdakilerden hangisidir?",Marco Polo'nun Eserleri,Uzak Doğu Kültürünün Gizemi,Avrupalılara Göre Doğu Kültürü,Batı'ya Doğu'yu Anlatan Tüccar,Doğu'nun Bilinmezliğine Yolculuk,D
9363795b-25ba-5989-9555-5f741ae90a48,MATEMATIK,"$\lim_{x \to 2} (x^3 - ax) = 16$ olduğuna göre, $a$ kaçtır?",1,2,3,4,5,B
a2316cf6-53c1-5b7e-8d7d-69f2ab09f80b,KIMYA,Aynı basınç altında bulunan aşağıdaki bileşiklerden hangisinin kaynama noktası en büyüktür?,$CH_4$,$C_2H_6$,$CH_3OH$,$CH_3CH_3$,$CH_3CH_2COOH$,E
eca7da49-b04e-52f0-a24a-ff10e0052ce7,MATEMATIK,"A kümesinden B kümesine tanımlı, $f = \{(1, a-2), (3, 8), (4, b+1)\}$ ve $g = \{(1, 4), (3, c-3), (4, -6)\}$ fonksiyonları eşit fonksiyonlar olduğuna göre, $a+b+c$ toplamı kaçtır?",2,4,6,8,10,A
9f394919-3be7-507b-9555-d31272905d58,KIMYA,Aşağıdaki taneciklerin hangisinden 1 elektron koparmak için gereken enerji en fazladır?,$_{18}Ar$,$_{19}K$,$_{17}Cl^{2+}$,$_{20}Ca^{2+}$,$_{29}Cu^{2+}$,C
f0286e3e-f35d-54c0-a8e2-dc80ed0ed517,MATEMATIK,"$f'(2x-1) = 3x^2-2x+1$ olduğuna göre, $f''(-7)$ kaçtır?",-20,-10,-5,10,20,B
c154888b-d31e-5a99-b0fc-9a06e73d3446,MATEMATIK,"Okuldaki dersler 09.00'da başlayan Fırat evinden okuluna sabit hızla yürüyerek giderse 20 dakikada, sabit hızla koşarak giderse 8 dakikada varmaktadır.
Bir sabah 08.49'da evinden aynı sabit hızla yürüyerek okula gitmek için harekete başlayan Fırat bir süre hareket ettikten sonra derse yetişemeyeceğini anlayıp aynı sabit hızla koşmaya başlamış ve dersin başlamasından 3 dakika sonra okuluna varmıştır.
Buna göre, Fırat'ın koşmaya başladığı anda saat kaçtı?",08.59,08.58,08.57,08.56,08.55,A
e461ecf4-e310-56a7-ae2d-ae82f17d3308,KIMYA,"$mA_{(g)} + nB_{(g)} \rightarrow pC_{(g)}$
Yukarıda verilen denkleme göre sabit sıcaklıkta B gazının derişimi 30 saniyede 1,6 molardan 0,4 molara düşmektedir.
Aynı koşullarda C gazının ortalama oluşma hızı $2.10^{-2}$ mol/L.s olduğuna göre, $\frac{n}{p}$ oranı kaçtır?",2,1,$\frac{1}{2}$,$\frac{1}{4}$,$\frac{1}{8}$,A
aaa11c3a-1d4c-5358-abe5-d0471c8d0d7a,MATEMATIK,"$(x^2 - 1) \cdot Q(x) = x^3 - ax - b$ olduğuna göre, $Q(x)$'in $(x-1)$ ile bölümünden kalan kaçtır?",2,1,0,-2,-1,B
