id,subject_area,q,oa,ob,oc,od,oe,key
f8957b9f-34c6-5e01-98d4-e2944672dab1,FIZIK,"Sürtünmenin önemsenmediği bir ortamda, hatasız çalışan ve eşit bölmelere ayrılmış bir dinamometrenin ucuna kütlesi $3 \text{ kg}$ olan bir cisim bağlandığında dinamometrenin $10 \text{ bölme}$ uzadığı gözlemleniyor. Daha sonra dinamometrenin ucuna $F$ ağırlıklı bir cisim bağlandığında ise dinamometrenin $30 \text{ bölme}$ uzadığı gözlemleniyor.
Cisimler dinamometrenin ucuna ayrı ayrı bağlandığına göre, $F$ kaç $N$'dir? (Dinamometrenin ağırlığı önemsizdir. $g=10 \text{ m/s}^2$)",6,12,30,60,120,D
2dfb3a82-c561-505f-b36d-4c0e2c0efdee,MATEMATIK,"Nehir Öğretmen, tahtaya $\cos x$ ve $\sin x$ fonksiyonlarının $[-\pi, \pi]$ aralığındaki grafiklerini çizmiş, öğrencilerinden bu aralıkta yorum yapmalarını istemiştir. Buna göre öğrenciler, I. $\cos x$ çift fonksiyondur. II. $\sin x$ tek fonksiyondur. III. $\cos x$ ve $\sin x$ fonksiyonlarının görüntü kümeleri $[-1, 1]$ aralığıdır. IV. $\left[\frac{\pi}{2}, \pi\right]$ aralığında $\sin x > \cos x$'tir. V. $\left[-\frac{\pi}{2}, 0\right]$ aralığında $\cos x > \sin x$'tir. ifadelerinden kaç tanesini sadece grafiklere bakarak yorumlayabilir?",1,2,3,4,5,E
f7f95f55-7dca-55c6-8374-bae4c2b955b9,MATEMATIK,"a bir gerçel sayı olmak üzere, $[a]$ sembolü a sayısının tam kısmını ifade etmektedir. Örneğin, $[\log_{10} 1] = 1$'dir. Buna göre, $[\log_2 3] + [\log_2 4] = [\log_2 n]$ eşitliğini sağlayan kaç farklı n tam sayı vardır?",45,46,47,48,49,D
7e09b9cc-66a4-59ca-a226-bc54f60da1c6,MATEMATIK,"$f(x) = \cos x - \cos 2x$ olduğuna göre, $f(x - \pi) = 0$ denkleminin köklerinden biri aşağıdakilerden hangisidir?",$0$,$\frac{\pi}{6}$,$\frac{\pi}{4}$,$\frac{\pi}{3}$,$\frac{\pi}{2}$,D
67b2edb0-0a8c-5316-9a29-19525c1314d3,TURKCE,"Somut olarak yer bildirmeyen alt, üst ve üzeri sözlerinin sona getirilmesiyle kurulan birleşik kelimeler bitişik yazılır.
Aşağıdaki cümlelerin hangisinde bu kurala uyulmamasından kaynaklanan bir yazım yanlışı vardır?","Sigmund Freud, insanı aslında bilinç altınının yönlendirdiğini söyleyerek bu kavramın önemine dikkat çekmiştir.","Türkiye'nin yer altı zenginlikleri, ilerleyen süreçte ülkemizin gelişiminde en önemli rolü üstlenecektir.","Dönemin önemli ediplerinden, akşamüstü iskeleye gelip burada gazetecilerin sorularını cevaplandırdılar.","Böbrek üstü bezleri (adrenal bezler), her iki böbreğin üzerine yerleşmiş iki katmanlı yapılardan oluşur.",Peyami Safa'nın gerçeküstü unsurlar taşıyan Matmazel Noraliya'nın Koltuğu adlı eserini ele alan bir eleştiri yazısı hazırlıyorum.,B
3aa47678-fe46-5aee-9a4f-64c239c3f05a,KIMYA,"$CaCl_2$ sıvısının elektrolizinde katotta $2$ gram Ca metali toplanabilmesi için $1,2$ amperlik akım ile kaç saniye elektroliz yapılmalıdır? (Mg: $40$ g/mol, Faraday sabiti $96000$ alınız.)",2000,4000,8000,10000,16000,C
4edf5ec7-fe2e-5946-9e23-ef15fcca1aba,FIZIK,"Lazer ışınları ile ilgili,
I. Aynı fazlı fotonlardan oluşur.
II. Atmosfer olaylarından etkilenir.
III. Lazer ışını sadece katılardan elde edilir.
yargılarından hangileri doğrudur?",Yalnız I,Yalnız II,I ve II,I ve III,"I, II ve III",A
83f50ded-7a5c-5551-870b-7669d8f5c126,MATEMATIK,$\frac{2\sqrt{27}-3\sqrt{48}}{\sqrt{12}}$ işleminin sonucu kaçtır?,$-6\sqrt{3}$,$-3\sqrt{3}$,$-3$,$-2$,$-1$,E
1d033310-5a8d-593a-bf66-9032e0b62053,TURKCE,"(I) Şehir merkezinde ve şehrin hemen hemen her yerinden görülebilen 226 metre yükseklikteki Afyonkarahisar Kalesi, doğal yükseltili büyük bir kaya üzerine yapılmış. (II) Kaleye Ulu Cami'nin yanındaki patika yoldan yukarıya doğru yarım saat yürüyerek ve 464 basamak çıkarak ulaşıyor üstelik giriş ücretsiz. (III) Kale'den şehre baktığınızda tüm medrese, cami ve hamamları görebiliyorsunuz ayrıca tarihî dokusu çok fazla korunamamış olsa da eski kalıntılar bulunuyor. (IV) Kale öncesinde ""Hapanuva"", Roma ve Bizans dönemlerinde ""Akroenos"" ismiyle anılmış. (V) Selçuklu Sultanı I. Alaeddin Keykubat, hazineleri bu kalede sakladığı için sonrasında ""Hisar-ı Devlet"" olarak hitap edilmiş. (VI) 1573'te burayı tamir ettiren II. Selim ise yörede yetiştirilen afyondan ötürü kaleye Afyonkarahisar adını vermiş.
Bu parça iki paragrafa ayrılmak istenirse ikinci paragraf numaralanmış cümlelerin hangisiyle başlar?",II,III,IV,V,VI,C
3813f36f-022d-52b4-8c1a-b3146bfce948,TURKCE,"Toprakla uğraşan maddi açıdan desteklemek ülkemizin kalkınmasına önemli ölçüde katkı sağlayacaktır.
Bu cümlenin öznesi, aşağıdaki sözcük gruplarından hangisinden oluşmuştur?",Sıfat tamlaması,İsim tamlaması,İsim-fiil grubu,Zarf-fiil grubu,Sıfat-fiil grubu,C
cae37c99-0432-527a-b8da-65e4f7e1e8e3,MATEMATIK,$x^2 + 20x - 300$ ifadesinin çarpanlarına ayrılmış hali aşağıdakilerden hangisidir?,$(x - 15)(x - 5)$,$(x + 25)(x - 5)$,$(x - 50)(x + 6)$,$(x - 10)(x + 30)$,$(x - 150)(x + 2)$,B
d5c620e3-7239-5357-b2ef-12fdc6b7b67c,KIMYA,"$m \text{ gram CO}_2$ bileşiğindeki toplam atom sayısı aşağıdakilerden hangisindeki ifade ile bulunur? ($M_A$: Mol kütlesi, $N$: Avogadro sayısı)",$\frac{3m \cdot N}{M_A}$,$\frac{4N}{M_A}$,$\frac{N}{3m}$,$\frac{2m}{N}$,$\frac{m \cdot M_A}{N}$,A
372ea616-d844-5bfb-8e0c-4ed743c18e63,MATEMATIK,"A ve B ilçeleri arasındaki uzaklık 90 kilometredir. A ve B ilçelerinden aynı anda birbirine doğru harekete geçen iki araç 3 saat sonra karşılaşmışlardır. Eğer araçlar aynı yönde hareket etselerdi, biri diğerine 5 saat sonra yetişecekti.
Buna göre, yavaş olan araç iki ilçe arasını kaç saatte gidebilmektedir?",20,15,12,9,6,B
4773234b-5ea2-5e53-99bf-fc5c243cd280,MATEMATIK,"Bir resim atölyesinde bulunan çocukların yaşları ile ilgili:
• Atölyede iki farklı yaş grubunda toplam 9 çocuk vardır.
• Küçük olan çocuklar 1 yıl önce, büyük olanlar 3 yıl sonra doğmuş olsalardı yaşları eşit olacaktı.
• Tüm çocukların yaşları toplamı 118'dir.
Tüm çocukların yaşları tam sayı olduğuna göre, atölyedeki yaşı büyük olan çocuk sayısı en çok kaçtır?",4,5,6,7,8,D
9d91c7b9-e1af-5ba3-a216-c233c5b97aec,KIMYA,1 mol gaz $0^\circ C$ ve 1 atm basınçta kaç litre hacim kaplar?,"11,2","22,4","24,5",25,27,B
431a7e0c-e37f-5bb9-93aa-5f1ddb5077f3,KIMYA,Aşağıda formülleri verilen bileşiklerden hangisinin adı yanlış verilmiştir?,Cu(NO$_{3}$)$_{2}$ : Kalsiyum nitrat,Cr(OH)$_{3}$ : Krom (III) hidroksit,(NH$_{4}$)$_{2}$S : Amonyum sülfat,Cl$_{2}$O$_{7}$ : Diklor heptaoksit,NO : Azot monoksit,A
38929091-23c6-5b52-b218-4394abfe61e1,TURKCE,"Dondurma, kalsiyum açısından gerçekten zengin mi?
Dondurmada hangi vitaminler var?
Dondurma, diğer tatlılardan daha masum mu?
Dondurma alırken nelere dikkat etmek gerekir?
Aşağıdaki araştırma sonuçlarından hangisi bu sorulardan herhangi biriyle ilişkili değildir?","Yapılan incelemelerde, dondurmanın bademciklerde enfeksiyona neden olacağı görüşünün yanlışlığı kanıtlanmıştır.","Sağlık açısından, şekerli ve yağlı tatlılar yerine glisemik indeksi düşük olan dondurma, muhallebi gibi tatlı türleri tercih edilmesi gerektiği ortaya konmuştur.","Dondurmanın A, B vitaminleri, kalsiyum, fosfor, magnezyum ve potasyum gibi kaynakları içerdiği; bu açıdan dokuların kaybına engel olduğu saptanmıştır.",Yarım bardak süt ile 120 mg kalsiyum alınırken aynı miktar dondurmayla 150 mg kalsiyum alımının gerçekleştiği belirlenmiştir.,"Dondurma paketlerindeki buz parçacıklarına dikkat edilmesi gerekir çünkü bu buzlar, dondurmanın eriyip tekrar donduğunu ve bakteriyel üremeye açık olduğunu göstermektedir.",A
537a6ff9-99a1-5545-a24c-4e01d6c8c55e,MATEMATIK,"K = Kalan bakteri sayısı
A = Ortama bırakılan bakteri sayısı
t = Geçen süre (saat)
Bir deney ortamına bırakılan bakteri sayısının zamana göre değişimi $K = A - 25\sqrt{t}$ şeklindedir.
Buna göre, deney ortamına bırakılan 100 adet bakteri kaç saat sonunda yok olur?
(Bakterilerin çoğalmadığı varsayılacaktır.)",12,14,16,25,36,C
