etiket	id	sinif	yargic	db_anahtar	guven	sebep
KIMYA-1	e485d0f9-1188-53ca-b628-35ce3443c10b	COP	C	C	orta	Metin bozuk: 'notralizasyon potansiyeli buhurun' anlamsiz; B
KIMYA-10	240769ad-94d3-54c3-a7a9-f30f3c6fef50	KABUL	C	C	yuksek
KIMYA-100	cf4fb975-c0af-5fa2-9c23-3f3c324da05f	KABUL	C	C	yuksek
KIMYA-1000	24247566-c0d6-5797-acf3-2c6d8839be12	KABUL	E	E	yuksek
KIMYA-1001	05b7a417-9fbe-59c3-910f-733ddc083f24	KABUL	E	E	yuksek
KIMYA-1002	3ccaf383-3624-5c9e-82fe-8ed079ddb548	KABUL	E	E	yuksek
KIMYA-1003	8e2b8658-1e1f-5c50-a207-dedcdb7271dc	COP		E	yuksek	Bozuk/anlamsiz OCR metni; soru govdesi ve secenekler tutarsi
KIMYA-1004	2afe1f46-f6d5-559e-8cbd-cfd7b86abb64	COP		C	yuksek	Veri/grafik icerigi metinde yok, soru kimya disi ve eksik
KIMYA-1005	703aa8f9-da05-5529-ab2b-ebedbad3789a	KUYRUK_DUSUK_GUVEN	D	D	dusuk
KIMYA-1006	672fc065-1509-5c5f-836b-12aa305c4a20	KABUL	C	C	yuksek
KIMYA-1007	890afc19-2776-5d6e-9bcf-0b3845164462	KABUL	B	B	yuksek
KIMYA-1008	9033b4e0-04ef-58da-a28c-c732038c2709	COP	C	C	dusuk	'Yukaridaki tepkime' metinde yok; denklem eksik, soru kendin
KIMYA-1009	22e24767-a602-5faa-856c-d0ae40b6a806	KABUL	C	C	yuksek
KIMYA-101	18f8a2a1-899b-587c-b877-5a97739282cb	COP		E	yuksek	Metin anlamsiz ('tam olarak cozulemeyi'), icerik kimya degil
KIMYA-1010	0f9a0bf7-0407-51a4-85e7-fd28ce9c2eed	KABUL	E	E	yuksek
KIMYA-1011	9d064b9d-af15-5c2f-a3eb-cb4f2d91492e	KABUL	A	A	yuksek
KIMYA-1012	9b64782f-7c2b-5ff3-8a0d-5ee9b89ec96a	KABUL	C	C	yuksek
KIMYA-1013	9e8d5a49-e271-5876-b500-729b15656e95	KABUL	B	B	orta
KIMYA-1014	00f6711c-92ca-5784-b85b-a83b87e2d50b	KABUL	B	B	yuksek
KIMYA-1015	09e842c0-37e1-5c89-a931-d1174e5ef327	KABUL	C	C	yuksek
